;loan_amnt;funded_amnt;funded_amnt_inv;term;int_rate;installment;grade;sub_grade;emp_title;emp_length;home_ownership;annual_inc;verification_status;issue_d;pymnt_plan;url;purpose;zip_code;addr_state;dti;delinq_2yrs;earliest_cr_line;fico_range_low;fico_range_high;inq_last_6mths;mths_since_last_delinq;mths_since_last_record;open_acc;pub_rec;revol_bal;revol_util;total_acc;initial_list_status;out_prncp;out_prncp_inv;recoveries;collection_recovery_fee;last_pymnt_d;last_credit_pull_d;collections_12_mths_ex_med;mths_since_last_major_derog;policy_code;application_type;annual_inc_joint;dti_joint;verification_status_joint;tot_coll_amt;tot_cur_bal;open_acc_6m;open_act_il;open_il_12m;open_il_24m;mths_since_rcnt_il;total_bal_il;il_util;open_rv_12m;open_rv_24m;max_bal_bc;all_util;total_rev_hi_lim;inq_fi;total_cu_tl;inq_last_12m;acc_open_past_24mths;avg_cur_bal;bc_open_to_buy;bc_util;chargeoff_within_12_mths;delinq_amnt;mo_sin_old_il_acct;mo_sin_old_rev_tl_op;mo_sin_rcnt_rev_tl_op;mo_sin_rcnt_tl;mort_acc;mths_since_recent_bc;mths_since_recent_bc_dlq;mths_since_recent_inq;mths_since_recent_revol_delinq;num_accts_ever_120_pd;num_actv_bc_tl;num_actv_rev_tl;num_bc_sats;num_bc_tl;num_il_tl;num_op_rev_tl;num_rev_accts;num_rev_tl_bal_gt_0;num_sats;num_tl_120dpd_2m;num_tl_30dpd;num_tl_90g_dpd_24m;num_tl_op_past_12m;pct_tl_nvr_dlq;percent_bc_gt_75;pub_rec_bankruptcies;tax_liens;tot_hi_cred_lim;total_bal_ex_mort;total_bc_limit;total_il_high_credit_limit;revol_bal_joint;sec_app_fico_range_low;sec_app_fico_range_high;sec_app_earliest_cr_line;sec_app_inq_last_6mths;sec_app_mort_acc;sec_app_open_acc;sec_app_revol_util;sec_app_open_act_il;sec_app_num_rev_accts;sec_app_chargeoff_within_12_mths;sec_app_collections_12_mths_ex_med;sec_app_mths_since_last_major_derog;hardship_flag;hardship_type;hardship_reason;hardship_status;deferral_term;hardship_amount;hardship_start_date;hardship_end_date;payment_plan_start_date;hardship_length;hardship_dpd;hardship_loan_status;orig_projected_additional_accrued_interest;hardship_payoff_balance_amount;hardship_last_payment_amount;disbursement_method;debt_settlement_flag;debt_settlement_flag_date;settlement_status;settlement_date;settlement_amount;settlement_percentage;settlement_term;date;target
0;3600.0;3600.0;3600.0; 36 months;13.99;123.03;C;C4;leadman;10+ years;MORTGAGE;55000.0;Not Verified;Dec-2015;n;https://lendingclub.com/browse/loanDetail.action?loan_id=68407277;debt_consolidation;190xx;PA;5.91;0.0;Aug-2003;675.0;679.0;1.0;30.0;;7.0;0.0;2765.0;29.7;13.0;w;0.0;0.0;0.0;0.0;Jan-2019;Mar-2019;0.0;30.0;1.0;Individual;;;;722.0;144904.0;2.0;2.0;0.0;1.0;21.0;4981.0;36.0;3.0;3.0;722.0;34.0;9300.0;3.0;1.0;4.0;4.0;20701.0;1506.0;37.2;0.0;0.0;148.0;128.0;3.0;3.0;1.0;4.0;69.0;4.0;69.0;2.0;2.0;4.0;2.0;5.0;3.0;4.0;9.0;4.0;7.0;0.0;0.0;0.0;3.0;76.9;0.0;0.0;0.0;178050.0;7746.0;2400.0;13734.0;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;Cash;N;;;;;;;01.12.2015;0
1;24700.0;24700.0;24700.0; 36 months;11.99;820.28;C;C1;Engineer;10+ years;MORTGAGE;65000.0;Not Verified;Dec-2015;n;https://lendingclub.com/browse/loanDetail.action?loan_id=68355089;small_business;577xx;SD;16.06;1.0;Dec-1999;715.0;719.0;4.0;6.0;;22.0;0.0;21470.0;19.2;38.0;w;0.0;0.0;0.0;0.0;Jun-2016;Mar-2019;0.0;;1.0;Individual;;;;0.0;204396.0;1.0;1.0;0.0;1.0;19.0;18005.0;73.0;2.0;3.0;6472.0;29.0;111800.0;0.0;0.0;6.0;4.0;9733.0;57830.0;27.1;0.0;0.0;113.0;192.0;2.0;2.0;4.0;2.0;;0.0;6.0;0.0;5.0;5.0;13.0;17.0;6.0;20.0;27.0;5.0;22.0;0.0;0.0;0.0;2.0;97.4;7.7;0.0;0.0;314017.0;39475.0;79300.0;24667.0;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;Cash;N;;;;;;;01.12.2015;0
2;20000.0;20000.0;20000.0; 60 months;10.78;432.66;B;B4;truck driver;10+ years;MORTGAGE;63000.0;Not Verified;Dec-2015;n;https://lendingclub.com/browse/loanDetail.action?loan_id=68341763;home_improvement;605xx;IL;10.78;0.0;Aug-2000;695.0;699.0;0.0;;;6.0;0.0;7869.0;56.2;18.0;w;0.0;0.0;0.0;0.0;Jun-2017;Mar-2019;0.0;;1.0;Joint App;71000.0;13.85;Not Verified;0.0;189699.0;0.0;1.0;0.0;4.0;19.0;10827.0;73.0;0.0;2.0;2081.0;65.0;14000.0;2.0;5.0;1.0;6.0;31617.0;2737.0;55.9;0.0;0.0;125.0;184.0;14.0;14.0;5.0;101.0;;10.0;;0.0;2.0;3.0;2.0;4.0;6.0;4.0;7.0;3.0;6.0;0.0;0.0;0.0;0.0;100.0;50.0;0.0;0.0;218418.0;18696.0;6200.0;14877.0;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;Cash;N;;;;;;;01.12.2015;0
3;35000.0;35000.0;35000.0; 60 months;14.85;829.9;C;C5;Information Systems Officer;10+ years;MORTGAGE;110000.0;Source Verified;Dec-2015;n;https://lendingclub.com/browse/loanDetail.action?loan_id=66310712;debt_consolidation;076xx;NJ;17.06;0.0;Sep-2008;785.0;789.0;0.0;;;13.0;0.0;7802.0;11.6;17.0;w;15897.65;15897.65;0.0;0.0;Feb-2019;Mar-2019;0.0;;1.0;Individual;;;;0.0;301500.0;1.0;1.0;0.0;1.0;23.0;12609.0;70.0;1.0;1.0;6987.0;45.0;67300.0;0.0;1.0;0.0;2.0;23192.0;54962.0;12.1;0.0;0.0;36.0;87.0;2.0;2.0;1.0;2.0;;;;0.0;4.0;5.0;8.0;10.0;2.0;10.0;13.0;5.0;13.0;0.0;0.0;0.0;1.0;100.0;0.0;0.0;0.0;381215.0;52226.0;62500.0;18000.0;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;Cash;N;;;;;;;01.12.2015;1
4;10400.0;10400.0;10400.0; 60 months;22.45;289.91;F;F1;Contract Specialist;3 years;MORTGAGE;104433.0;Source Verified;Dec-2015;n;https://lendingclub.com/browse/loanDetail.action?loan_id=68476807;major_purchase;174xx;PA;25.37;1.0;Jun-1998;695.0;699.0;3.0;12.0;;12.0;0.0;21929.0;64.5;35.0;w;0.0;0.0;0.0;0.0;Jul-2016;Mar-2018;0.0;;1.0;Individual;;;;0.0;331730.0;1.0;3.0;0.0;3.0;14.0;73839.0;84.0;4.0;7.0;9702.0;78.0;34000.0;2.0;1.0;3.0;10.0;27644.0;4567.0;77.5;0.0;0.0;128.0;210.0;4.0;4.0;6.0;4.0;12.0;1.0;12.0;0.0;4.0;6.0;5.0;9.0;10.0;7.0;19.0;6.0;12.0;0.0;0.0;0.0;4.0;96.6;60.0;0.0;0.0;439570.0;95768.0;20300.0;88097.0;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;Cash;N;;;;;;;01.12.2015;0
